Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,INR
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018, 
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,INR
Tabono,Sports,Seed,0.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,NUL
LearnApp,"Banking, E-Learning, Trading Platform",Seed,,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,INR
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018, 
Fric Bergen,—,Venture - Series Unknown,0.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,NUL
Articbot,"Artificial Intelligence, Information Technology",Grant,,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,INR
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,,Gurgaon,India’s most advanced ERP system for the real estate,2018,INR
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,INR
Any time Doctor,Software,Angel,0.0,Chennai,Anytime Doctor is a Software company.,2018,NUL
Go Payments,"Information Services, Information Technology",Corporate Round,0.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,NUL
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,,Mumbai,We build In-Destination Experiences!,2018, 
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018, 
UnoTag,Artificial Intelligence,Pre-Seed,,Bangalore,SaaS to verify counterfeit,2018, 
CivilCops,"Government, Information Technology, Software",Pre-Seed,,Gurgaon,Gov-Tech,2018, 
Rockmetric,Information Technology,Grant,0.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,NUL
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,,Chennai,"Saas, Web App, Mobile App, School Education",2018,INR
